"cas","ln_pm100","fitted_pm100","sezona","data_pm100"
2024-02-21 09:00:00,2.31451366385932,2.28442944981434,1,10.12
2024-02-21 10:00:00,2.32042501112238,1.77952036939986,1,10.18
2024-02-21 11:00:00,2.03077636969855,1.69317786713913,1,7.62
2024-02-21 12:00:00,2.07317192866624,1.46185796213037,1,7.95
2024-02-21 13:00:00,1.99061032797322,1.17340490154894,1,7.32
2024-02-21 14:00:00,1.63510565918268,1.45332638689578,1,5.13
2024-02-21 15:00:00,1.46093790411566,1.44739381663957,1,4.31
2024-02-21 16:00:00,1.40609698841607,1.38857256368348,1,4.08
2024-02-21 17:00:00,1.56861591791385,1.72375979786828,1,4.8
2024-02-21 18:00:00,1.64480505627139,2.45560903267723,1,5.18
2024-02-21 19:00:00,2.0188950418118,2.83880790810349,1,7.53
2024-02-21 20:00:00,2.41143949790613,2.99385867542039,1,11.15
2024-02-21 21:00:00,2.10657020906809,2.60893089149218,1,8.22
2024-02-21 22:00:00,2.02154756326093,2.42318473258621,1,7.55
2024-02-21 23:00:00,1.76644166124377,2.36548269980751,1,5.85
2024-02-22,1.6094379124341,2.08852121771261,1,5
2024-02-22 01:00:00,1.43031124653666,1.34180296418971,1,4.18
2024-02-22 02:00:00,1.29198368164865,1.18985284976859,1,3.64
2024-02-22 03:00:00,0.955511445027436,2.02612860760757,1,2.6
2024-02-22 04:00:00,1.01884732019925,1.05456409309879,1,2.77
2024-02-22 05:00:00,0.879626747502564,0.665022860258031,1,2.41
2024-02-22 06:00:00,0.963174317773006,0.894347618240816,1,2.62
2024-02-22 07:00:00,0.797507195884188,1.12234337395147,1,2.22
2024-02-22 08:00:00,1.38629436111989,1.02072468632616,1,4
2024-02-22 09:00:00,2.07568449280212,1.71611210366665,1,7.97
2024-02-22 10:00:00,1.34025042261848,1.73160801176746,1,3.82
2024-02-22 11:00:00,1.62924053973028,2.22336813054442,1,5.1
2024-02-22 12:00:00,2.37397508908072,2.54948138181446,1,10.74
2024-02-22 13:00:00,1.55180879959746,2.69812516628086,1,4.72
2024-02-22 14:00:00,1.29198368164865,1.84449738178729,1,3.64
2024-02-22 15:00:00,1.21787570949493,1.64862143956793,1,3.38
2024-02-22 16:00:00,1.04380405217311,0.920930945482586,1,2.84
2024-02-22 17:00:00,0.924258901523332,0.959883035864842,1,2.52
2024-02-22 18:00:00,1.22671229129543,1.06942231016419,1,3.41
2024-02-22 19:00:00,1.23547147138531,0.594854378272555,1,3.44
2024-02-22 20:00:00,1.44220199305819,0.577269979272607,1,4.23
2024-02-22 21:00:00,1.05779029414785,1.41005977981476,1,2.88
2024-02-22 22:00:00,1.21194097397511,1.76547835515937,1,3.36
2024-02-22 23:00:00,0.412109650826833,0.505944762524476,1,1.51
2024-02-23,0.307484699747961,0.0954969252633315,1,1.36
