"","cas","data_temp1","mesic",".fitted","pred","lower","upper","pred_30"
"137",2024-01-06 17:00:00,4.03,1,4.10977431527956,NA,NA,NA,NA
"138",2024-01-06 18:00:00,4.53,1,3.16145771749532,NA,NA,NA,NA
"139",2024-01-06 19:00:00,3.83,1,3.96220514690269,NA,NA,NA,NA
"140",2024-01-06 20:00:00,3.67,1,2.94482378525548,NA,NA,NA,NA
"141",2024-01-06 21:00:00,3.33,1,3.19179896782542,NA,NA,NA,NA
"142",2024-01-06 22:00:00,2.92,1,2.82395484827403,NA,NA,NA,NA
"143",2024-01-06 23:00:00,2.28,1,2.48116669922676,NA,NA,NA,NA
"144",2024-01-07,1.93,1,1.71673440100904,NA,NA,NA,NA
"145",2024-01-07 01:00:00,1.12,1,1.55093578302969,NA,NA,NA,NA
"146",2024-01-07 02:00:00,0.55,1,0.679011133226327,NA,NA,NA,NA
"147",2024-01-07 03:00:00,0.1,1,0.243323516058412,NA,NA,NA,NA
"148",2024-01-07 04:00:00,-0.22,1,0.099162843173167,NA,NA,NA,NA
"149",2024-01-07 05:00:00,-0.5,1,0.0619856516666233,NA,NA,NA,NA
"150",2024-01-07 06:00:00,-0.7,1,0.00174213688507774,NA,NA,NA,NA
"151",2024-01-07 07:00:00,-0.82,1,0.0366681086501859,NA,NA,NA,NA
"152",2024-01-07 08:00:00,-0.85,1,0.010507724815438,NA,NA,NA,NA
"153",2024-01-07 09:00:00,-1.05,1,-0.0012921751040269,NA,NA,NA,NA
"154",2024-01-07 10:00:00,-1.18,1,-0.389859112049112,NA,NA,NA,NA
"155",2024-01-07 11:00:00,-1.25,1,-0.58839416667537,NA,NA,NA,NA
"156",2024-01-07 12:00:00,-1.48,1,-0.61954507110105,NA,NA,NA,NA
"157",2024-01-07 13:00:00,-1.43,1,-1.07554767091382,NA,NA,NA,NA
"158",2024-01-07 14:00:00,-1.8,1,-1.1299776961167,NA,NA,NA,NA
"159",2024-01-07 15:00:00,-2.35,1,-1.73616741285627,NA,NA,NA,NA
"160",2024-01-07 16:00:00,-2.85,1,-2.63076107398332,NA,NA,NA,NA
"161",2024-01-07 17:00:00,-2.88,1,-3.3290015252556,NA,NA,NA,NA
"162",2024-01-07 18:00:00,-2.75,1,-2.94290560194581,NA,NA,NA,NA
"163",2024-01-07 19:00:00,-2.48,1,-3.18794902595762,NA,NA,NA,NA
"164",2024-01-07 20:00:00,-2.62,1,-2.54491372968814,NA,NA,NA,NA
"165",2024-01-07 21:00:00,-2.52,1,-2.78229842606311,NA,NA,NA,NA
"166",2024-01-07 22:00:00,-2.52,1,-2.51958165866395,NA,NA,NA,NA
"167",2024-01-07 23:00:00,-2.77,1,-2.61088215320241,NA,NA,NA,NA
"168",2024-01-08,-3.2,1,-2.88165572597419,NA,NA,NA,NA
"169",2024-01-08 01:00:00,-3.38,1,-3.56797264782133,NA,NA,NA,NA
"170",2024-01-08 02:00:00,-3.45,1,-3.5828213274045,NA,NA,NA,NA
"171",2024-01-08 03:00:00,-3.78,1,-3.51926638097317,NA,NA,NA,NA
"172",2024-01-08 04:00:00,-4.22,1,-3.68160331782921,NA,NA,NA,NA
"173",2024-01-08 05:00:00,-5.08,1,-3.87840802507071,NA,NA,NA,NA
"174",2024-01-08 06:00:00,-6.3,1,-4.58025402276443,NA,NA,NA,NA
"175",2024-01-08 07:00:00,-7.2,1,-5.68948808771498,NA,NA,NA,NA
"176",2024-01-08 08:00:00,-7.68,1,-6.39716481093912,NA,NA,NA,NA
"177",2024-01-08 09:00:00,-6.68,1,-6.83317686330154,NA,NA,NA,NA
"178",2024-01-08 10:00:00,-5,1,-5.47672384076515,NA,NA,NA,NA
"179",2024-01-08 11:00:00,-4.32,1,-3.74609402024844,NA,NA,NA,NA
"180",2024-01-08 12:00:00,-2.7,1,-3.50988241618249,NA,NA,NA,NA
"181",2024-01-08 13:00:00,-2.35,1,-1.67254583858708,NA,NA,NA,NA
"182",2024-01-08 14:00:00,-2.65,1,-2.02473720791521,NA,NA,NA,NA
"183",2024-01-08 15:00:00,-4.28,1,-2.68117727168882,NA,NA,NA,NA
"184",2024-01-08 16:00:00,-5.2,1,-4.85807394326029,NA,NA,NA,NA
"185",2024-01-08 17:00:00,-6.12,1,-5.5855379305084,NA,NA,NA,NA
"186",2024-01-08 18:00:00,-6.78,1,-6.58481893873849,NA,NA,NA,NA
"187",2024-01-08 19:00:00,-7.12,1,-7.07862009480487,NA,NA,NA,NA
"188",2024-01-08 20:00:00,-7.28,1,-7.3280243992521,NA,NA,NA,NA
"189",2024-01-08 21:00:00,-7.38,1,-7.19251484070484,NA,NA,NA,NA
"190",2024-01-08 22:00:00,-7.72,1,-7.21358530367164,NA,NA,NA,NA
"191",2024-01-08 23:00:00,-7.97,1,-7.64547435727565,NA,NA,NA,NA
"192",2024-01-09,-8.15,1,-7.93676084730507,NA,NA,NA,NA
"193",2024-01-09 01:00:00,-8.55,1,-8.07894926198559,NA,NA,NA,NA
"194",2024-01-09 02:00:00,-8.95,1,-8.52521312623101,NA,NA,NA,NA
"195",2024-01-09 03:00:00,-9.07,1,-8.88543523727403,NA,NA,NA,NA
"196",2024-01-09 04:00:00,-9.83,1,-8.72762908124972,NA,NA,NA,NA
"197",2024-01-09 05:00:00,-9.82,1,-9.49861926259835,NA,NA,NA,NA
"198",2024-01-09 06:00:00,-11.4,1,-9.07497057372584,NA,NA,NA,NA
"199",2024-01-09 07:00:00,-11.95,1,-10.831986154296,NA,NA,NA,NA
"200",2024-01-09 08:00:00,-11.37,1,-10.897219362008,NA,NA,NA,NA
"201",2024-01-09 09:00:00,-5.82,1,-9.72347458252063,NA,NA,NA,NA
"202",2024-01-09 10:00:00,-3.38,1,-2.90135062975229,NA,NA,NA,NA
"203",2024-01-09 11:00:00,-1.6,1,-1.92955609246377,NA,NA,NA,NA
"204",2024-01-09 12:00:00,0.55,1,-0.0850898668238631,NA,NA,NA,NA
"205",2024-01-09 13:00:00,-0.45,1,1.48278595754203,NA,NA,NA,NA
"206",2024-01-09 14:00:00,0.42,1,-0.652644380899005,NA,NA,NA,NA
"207",2024-01-09 15:00:00,-2.05,1,0.272225580043399,NA,NA,NA,NA
"208",2024-01-09 16:00:00,-4.67,1,-3.10034077682347,NA,NA,NA,NA
"209",2024-01-09 17:00:00,-6.4,1,-5.83383784148147,NA,NA,NA,NA
"210",2024-01-09 18:00:00,-8.03,1,-7.31501558029082,NA,NA,NA,NA
"211",2024-01-09 19:00:00,-9.15,1,-8.77089921091109,NA,NA,NA,NA
"212",2024-01-09 20:00:00,-9.72,1,-9.5354954424506,NA,NA,NA,NA
"213",2024-01-09 21:00:00,-10.32,1,-9.77391723949266,NA,NA,NA,NA
"214",2024-01-09 22:00:00,-10.88,1,-10.3162969013156,NA,NA,NA,NA
"215",2024-01-09 23:00:00,-11.2,1,-10.7632083988777,NA,NA,NA,NA
"216",2024-01-10,-11.3,1,-11.0341532893437,NA,NA,NA,NA
"217",2024-01-10 01:00:00,-11.57,1,-11.1887859976122,NA,NA,NA,NA
"218",2024-01-10 02:00:00,-11.65,1,-11.4871667722416,NA,NA,NA,NA
"219",2024-01-10 03:00:00,-11.62,1,-11.3314411116419,NA,NA,NA,NA
"220",2024-01-10 04:00:00,-11.57,1,-11.2657279202764,NA,NA,NA,NA
"221",2024-01-10 05:00:00,-11.78,1,-10.6964441597549,NA,NA,NA,NA
"222",2024-01-10 06:00:00,-11.62,1,-11.2316289446423,NA,NA,NA,NA
"223",2024-01-10 07:00:00,-11.68,1,-10.4183472996965,NA,NA,NA,NA
"224",2024-01-10 08:00:00,-10.77,1,-10.3046149820965,NA,NA,NA,NA
"225",2024-01-10 09:00:00,-6.78,1,-7.91708750454113,NA,NA,NA,NA
"226",2024-01-10 10:00:00,-3.5,1,-4.46165149945491,NA,NA,NA,NA
"227",2024-01-10 11:00:00,0.1,1,-1.5350189315123,NA,NA,NA,NA
"228",2024-01-10 12:00:00,0.85,1,2.11290173626165,NA,NA,NA,NA
"229",2024-01-10 13:00:00,2.67,1,0.986917941260849,NA,NA,NA,NA
"230",2024-01-10 14:00:00,2.22,1,3.68012155718242,NA,NA,NA,NA
"231",2024-01-10 15:00:00,0.03,1,1.24867778343567,NA,NA,NA,NA
