"","datum","typ_datumu","skutecne_hodnoty","fitted_hodnoty","predikovane_hodnoty","predikce_lower","predikce_upper"
"116",2024-01-05 20:00:00,"historie",24.7,15.8433715002231,NA,NA,NA
"117",2024-01-05 21:00:00,"historie",24.11,18.0780648056017,NA,NA,NA
"118",2024-01-05 22:00:00,"historie",19.07,18.4544432539916,NA,NA,NA
"119",2024-01-05 23:00:00,"historie",21.36,16.7456075685682,NA,NA,NA
"120",2024-01-06,"historie",19.33,18.272693438361,NA,NA,NA
"121",2024-01-06 01:00:00,"historie",18.33,19.5196341027885,NA,NA,NA
"122",2024-01-06 02:00:00,"historie",17.53,21.8724032978052,NA,NA,NA
"123",2024-01-06 03:00:00,"historie",20.31,19.9458314002501,NA,NA,NA
"124",2024-01-06 04:00:00,"historie",19.94,14.6462004707425,NA,NA,NA
"125",2024-01-06 05:00:00,"historie",18.58,24.701297510566,NA,NA,NA
"126",2024-01-06 06:00:00,"historie",19.02,20.5545897586762,NA,NA,NA
"127",2024-01-06 07:00:00,"historie",18.88,27.3868752770971,NA,NA,NA
"128",2024-01-06 08:00:00,"historie",22.42,24.5062813725859,NA,NA,NA
"129",2024-01-06 09:00:00,"historie",24.31,24.3570238860697,NA,NA,NA
"130",2024-01-06 10:00:00,"historie",25.95,20.1075201778408,NA,NA,NA
"131",2024-01-06 11:00:00,"historie",22.74,22.0172660121222,NA,NA,NA
"132",2024-01-06 12:00:00,"historie",22.81,15.9236121443109,NA,NA,NA
"133",2024-01-06 13:00:00,"historie",21.95,18.571067692442,NA,NA,NA
"134",2024-01-06 14:00:00,"historie",26.51,15.7705018210157,NA,NA,NA
"135",2024-01-06 15:00:00,"historie",29.6,16.8773717848959,NA,NA,NA
"136",2024-01-06 16:00:00,"historie",24.84,15.0740113525393,NA,NA,NA
"137",2024-01-06 17:00:00,"historie",13.54,18.6820104432652,NA,NA,NA
"138",2024-01-06 18:00:00,"historie",9.99,19.3912050109603,NA,NA,NA
"139",2024-01-06 19:00:00,"historie",7.43,17.6050350021932,NA,NA,NA
"140",2024-01-06 20:00:00,"historie",7.35,18.9694126925831,NA,NA,NA
"141",2024-01-06 21:00:00,"historie",7.39,16.4496588891581,NA,NA,NA
"142",2024-01-06 22:00:00,"historie",6.1,19.3202163763454,NA,NA,NA
"143",2024-01-06 23:00:00,"historie",5.84,21.1078408941415,NA,NA,NA
"144",2024-01-07,"historie",6.56,22.2451463630517,NA,NA,NA
"145",2024-01-07 01:00:00,"historie",6.7,18.8869650611277,NA,NA,NA
"146",2024-01-07 02:00:00,"historie",7.19,19.819295873208,NA,NA,NA
"147",2024-01-07 03:00:00,"historie",6.23,20.0941859366956,NA,NA,NA
"148",2024-01-07 04:00:00,"historie",5.99,26.1408084954094,NA,NA,NA
"149",2024-01-07 05:00:00,"historie",6.55,25.6116363830741,NA,NA,NA
"150",2024-01-07 06:00:00,"historie",6.38,20.9362599289272,NA,NA,NA
"151",2024-01-07 07:00:00,"historie",6.45,13.975641190364,NA,NA,NA
