"cas","ln_no2","fitted_no2","sezona","data_no2"
2024-01-05 23:00:00,3.06152001409199,2.95119543261507,1,21.36
2024-01-06,2.96165829322024,3.00359514787873,1,19.33
2024-01-06 01:00:00,2.90853906185161,2.83245892597603,1,18.33
2024-01-06 02:00:00,2.86391369893314,2.85286541324847,1,17.53
2024-01-06 03:00:00,3.01111337559229,2.79691317751203,1,20.31
2024-01-06 04:00:00,2.99272776453369,2.85606848244199,1,19.94
2024-01-06 05:00:00,2.92208573338569,2.92550876981455,1,18.58
2024-01-06 06:00:00,2.94549105711724,2.915069954079,1,19.02
2024-01-06 07:00:00,2.93810316071735,2.97096255280677,1,18.88
2024-01-06 08:00:00,3.10995341764401,2.90697209280239,1,22.42
2024-01-06 09:00:00,3.19088778832803,2.86195812145711,1,24.31
2024-01-06 10:00:00,3.2561716096119,2.72130070698111,1,25.95
2024-01-06 11:00:00,3.12412548832239,2.66878044290835,1,22.74
2024-01-06 12:00:00,3.1271990362963,2.54076782271178,1,22.81
2024-01-06 13:00:00,3.08876713952118,2.64894712824458,1,21.95
2024-01-06 14:00:00,3.27752202030093,2.83188304451157,1,26.51
2024-01-06 15:00:00,3.38777436133001,2.99810983149954,1,29.6
2024-01-06 16:00:00,3.21245525706528,3.12307765298944,1,24.84
2024-01-06 17:00:00,2.60564826748413,3.32834863103948,1,13.54
2024-01-06 18:00:00,2.30158459266046,2.87255468436258,1,9.99
2024-01-06 19:00:00,2.00552585872967,2.61842344035917,1,7.43
2024-01-06 20:00:00,1.99470031322475,2.67751187350589,1,7.35
2024-01-06 21:00:00,2.00012773496011,2.8202730426325,1,7.39
2024-01-06 22:00:00,1.80828877117927,2.64333951978839,1,6.1
2024-01-06 23:00:00,1.76473079684014,2.50713281498112,1,5.84
2024-01-07,1.880990602956,2.45502380804449,1,6.56
2024-01-07 01:00:00,1.90210752639692,2.24578875348151,1,6.7
2024-01-07 02:00:00,1.97269117173296,2.49432208703441,1,7.19
2024-01-07 03:00:00,1.82937633279936,2.1308778257348,1,6.23
2024-01-07 04:00:00,1.79009141212736,2.23281660905717,1,5.99
2024-01-07 05:00:00,1.87946504964716,2.40907092141858,1,6.55
2024-01-07 06:00:00,1.8531680973567,2.47219035694498,1,6.38
2024-01-07 07:00:00,1.86408013080768,2.18073679057902,1,6.45
2024-01-07 08:00:00,1.96150224381515,2.17250261635894,1,7.11
2024-01-07 09:00:00,2.03470564783844,2.09775019381743,1,7.65
