"hour","data_pm10","data_pm25","data_pm40","data_pm100","data_no2"
2024-09-11 05:00:00,2.02564102564103,3.46153846153846,3.64102564102564,4.20512820512821,8.68448789473684
2024-09-11 06:00:00,1.69230769230769,3.15384615384615,3.41025641025641,3.8974358974359,5.622713
2024-09-11 07:00:00,1.66666666666667,3.02564102564103,3.30769230769231,3.74358974358974,4.07445473684211
2024-09-11 08:00:00,1.375,2.7,2.975,3.25,3.8798025
2024-09-11 09:00:00,1.34210526315789,2.55263157894737,2.78947368421053,3.23684210526316,2.91951263157895
2024-09-11 10:00:00,1.075,2.175,2.325,2.625,3.19918
2024-09-11 11:00:00,0.911764705882353,1.97058823529412,2.08823529411765,2.20588235294118,3.98305684210526
2024-09-11 12:00:00,1.14705882352941,2.14705882352941,2.17647058823529,2.41176470588235,5.9006665
2024-09-11 13:00:00,0.8,1.77142857142857,1.82857142857143,2.02857142857143,6.40456210526316
2024-09-11 14:00:00,0.848484848484849,1.81818181818182,1.84848484848485,1.93939393939394,9.4906865
2024-09-11 15:00:00,0.175,0.85,0.925,1.1,25.3117631578947
2024-09-11 16:00:00,3.87179487179487,5.71794871794872,6.15384615384615,6.30769230769231,35.701485
2024-09-11 17:00:00,0.435897435897436,1.41025641025641,1.43589743589744,1.53846153846154,30.0910894736842
2024-09-11 18:00:00,1.58974358974359,2.66666666666667,2.66666666666667,2.74358974358974,21.21455
2024-09-11 19:00:00,3.82051282051282,5.69230769230769,5.94871794871795,6.30769230769231,16.9291368421053
2024-09-11 20:00:00,0.435897435897436,1.46153846153846,1.48717948717949,1.64102564102564,12.781712
2024-09-11 21:00:00,0.571428571428571,1.54285714285714,1.54285714285714,1.62857142857143,11.8298247058824
2024-09-11 22:00:00,0.447368421052632,1.42105263157895,1.47368421052632,1.63157894736842,9.35044157894737
2024-09-11 23:00:00,0.432432432432432,1.43243243243243,1.48648648648649,1.67567567567568,6.794742
2024-09-12,0.736842105263158,1.73684210526316,1.78947368421053,1.94736842105263,6.82246263157895
2024-09-12 01:00:00,0.925,1.975,2.1,2.175,9.684517
2024-09-12 02:00:00,1.20512820512821,2.30769230769231,2.43589743589744,2.64102564102564,10.0064357894737
2024-09-12 03:00:00,1.46153846153846,2.66666666666667,2.76923076923077,3.23076923076923,10.65515
2024-09-12 04:00:00,1.38461538461538,2.53846153846154,2.74358974358974,3.17948717948718,10.9408415789474
2024-09-12 05:00:00,0.974358974358974,2.25641025641026,2.30769230769231,2.53846153846154,9.142802
2024-09-12 06:00:00,1.07692307692308,2.28205128205128,2.28205128205128,2.61538461538462,9.12769789473684
2024-09-12 07:00:00,1.05128205128205,2.23076923076923,2.33333333333333,2.66666666666667,7.4688025
2024-09-12 08:00:00,1.1025641025641,2.17948717948718,2.20512820512821,2.48717948717949,4.63625315789474
2024-09-12 09:00:00,1.02564102564103,2.28205128205128,2.41025641025641,2.84615384615385,2.5932305
2024-09-12 10:00:00,0.564102564102564,1.69230769230769,1.8974358974359,2.46153846153846,2.22333736842105
