"","X","cas","valid_speed_count","den_v_tydnu","data_pm100","data_no2","data_temp1","data_hum1","data_pressure","data_windSpeed","data_windImpact","data_volumeMm","month","tretina_dne","letni_prazdniny","topna_sezona","statni_svatky","datum","prumerna_teplota_dne"
"1434",1434,2024-02-29 18:00:00,1787,4,55.44,35.76,5.6,88.35,98150,0.2,1.68,0,"02/2024","3",0,1,0,2024-02-29,4.75
"1435",1435,2024-02-29 19:00:00,1224,4,52.95,35.61,5.72,88.05,98075,0.16,1.32,0,"02/2024","3",0,1,0,2024-02-29,4.75
"1436",1436,2024-02-29 20:00:00,835,4,55.36,33.05,5.68,88.65,98000,0.95,2.28,0,"02/2024","3",0,1,0,2024-02-29,4.75
"1437",1437,2024-02-29 21:00:00,467,4,52.9,33.03,5.73,89,97923.33,0.13,1.12,0,"02/2024","3",0,1,0,2024-02-29,4.75
"1438",1438,2024-02-29 22:00:00,375,4,52.18,30.12,5.68,89.72,97862.5,1.18,3.24,0,"02/2024","3",0,1,0,2024-02-29,4.75
"1439",1439,2024-02-29 23:00:00,155,4,47.34,25.47,5.83,89.6,97783.33,0.61,2.72,0,"02/2024","3",0,1,0,2024-02-29,4.75
"1440",1440,2024-03-01,139,5,49.23,24.37,5.65,90.88,97742.5,0.2,1.44,0,"02/2024","1",0,1,0,2024-02-29,4.75
"1441",1441,2024-03-01 01:00:00,86,5,46.73,17.96,5.7,91.95,97697.5,1.46,3.72,0,"03/2024","1",0,1,0,2024-03-01,NA
"1442",1442,2024-03-01 02:00:00,98,5,53.16,14.02,5.8,91.7,97630,0.25,1.8,0,"03/2024","1",0,1,0,2024-03-01,NA
"1443",1443,2024-03-01 03:00:00,168,5,49.27,14.09,5.32,94.7,97630,0.5,2.52,0,"03/2024","1",0,1,0,2024-03-01,NA
"1444",1444,2024-03-01 04:00:00,448,5,49.59,17.47,5.38,95.8,97610,2.78,6.6,0,"03/2024","1",0,1,0,2024-03-01,NA
"1445",1445,2024-03-01 05:00:00,1566,5,63.87,20.16,5.78,96.7,97635,1.33,4.92,0,"03/2024","1",0,1,0,2024-03-01,NA
"1446",1446,2024-03-01 06:00:00,2322,5,70.69,18.26,6.03,97.7,97566.67,1.09,4.16,0,"03/2024","1",0,1,0,2024-03-01,NA
"1447",1447,2024-03-01 07:00:00,2861,5,85.12,17.07,5.95,98.8,97560,2.19,5.16,0,"03/2024","1",0,1,0,2024-03-01,NA
"1448",1448,2024-03-01 08:00:00,2756,5,83,14.99,6.62,97.7,97505,1.12,3.48,0,"03/2024","2",0,1,0,2024-03-01,NA
"1449",1449,2024-03-01 09:00:00,2418,5,75.38,16.17,8.1,91.77,97250,0.55,2.64,0,"03/2024","2",0,1,0,2024-03-01,NA
"1450",1450,2024-03-01 10:00:00,1961,5,78.67,17,8.43,90.85,97097.5,0.53,2.4,0,"03/2024","2",0,1,0,2024-03-01,NA
"1451",1451,2024-03-02 01:00:00,176,6,58.23,15.21,7.67,98.2,97146.67,0.15,1.44,0,"03/2024","1",0,1,0,2024-03-02,8.7025
"1452",1452,2024-03-02 02:00:00,113,6,59.42,13.41,7.6,98.45,97142.5,0.12,1.08,0,"03/2024","1",0,1,0,2024-03-02,8.7025
"1453",1453,2024-03-02 03:00:00,143,6,61.6,13.23,7.5,98.67,97147.5,0.21,1.56,0,"03/2024","1",0,1,0,2024-03-02,8.7025
"1454",1454,2024-03-02 04:00:00,271,6,64.33,13.14,7.38,98.95,97150,0.68,2.76,0,"03/2024","1",0,1,0,2024-03-02,8.7025
"1455",1455,2024-03-02 05:00:00,628,6,61.46,14.79,7.32,98.7,97187.5,0.37,2.28,0,"03/2024","1",0,1,0,2024-03-02,8.7025
"1456",1456,2024-03-02 06:00:00,781,6,64.77,15.89,7.4,98.97,97247.5,0.03,0.84,0,"03/2024","1",0,1,0,2024-03-02,8.7025
"1457",1457,2024-03-02 07:00:00,1027,6,65.35,15.34,7.55,98.92,97277.5,0.19,0.96,0,"03/2024","1",0,1,0,2024-03-02,8.7025
"1458",1458,2024-03-02 08:00:00,1475,6,60.49,14.98,7.88,97.62,97277.5,0.27,0.96,0.09,"03/2024","2",0,1,0,2024-03-02,8.7025
"1459",1459,2024-03-02 09:00:00,1760,6,53.33,14.4,8.47,96.35,97230,0.63,2.4,0,"03/2024","2",0,1,0,2024-03-02,8.7025
"1460",1460,2024-03-02 10:00:00,2003,6,36.23,6.39,9.75,88.67,97077.5,1.12,4.56,0,"03/2024","2",0,1,0,2024-03-02,8.7025
"1461",1461,2024-03-02 11:00:00,1914,6,28.9,4.97,10.63,84.33,96733.33,1.91,6.08,0,"03/2024","2",0,1,0,2024-03-02,8.7025
"1462",1462,2024-03-02 12:00:00,2094,6,33.11,8.19,11.15,82.78,96570,1.5,4.8,0,"03/2024","2",0,1,0,2024-03-02,8.7025
"1463",1463,2024-03-02 13:00:00,2229,6,35.2,7.28,10.78,85.15,96620,2.15,6.36,0,"03/2024","2",0,1,0,2024-03-02,8.7025
"1464",1464,2024-03-02 14:00:00,2244,6,31,5.11,11.12,83.22,96597.5,1.15,4.44,0,"03/2024","2",0,1,0,2024-03-02,8.7025
"1465",1465,2024-03-02 15:00:00,2208,6,19.03,4.26,11.07,77.42,96615,3.15,8.04,0,"03/2024","2",0,1,0,2024-03-02,8.7025
"1466",1466,2024-03-02 16:00:00,2233,6,24.79,7.88,11.1,78.28,96630,0.92,3,0,"03/2024","3",0,1,0,2024-03-02,8.7025
"1467",1467,2024-03-02 17:00:00,2051,6,28,19.78,10.47,83.15,96712.5,1.53,5.04,0,"03/2024","3",0,1,0,2024-03-02,8.7025
"1468",1468,2024-03-02 18:00:00,1841,6,34.41,28.32,9.85,87.08,96860,0.57,2.28,0,"03/2024","3",0,1,0,2024-03-02,8.7025
"1469",1469,2024-03-02 19:00:00,1182,6,40.05,27.58,9.12,90.4,96965,0.21,1.44,0,"03/2024","3",0,1,0,2024-03-02,8.7025
"1470",1470,2024-03-02 20:00:00,757,6,44.79,25.64,8.53,93.35,97065,0.1,1.32,0,"03/2024","3",0,1,0,2024-03-02,8.7025
"1471",1471,2024-03-02 21:00:00,507,6,42.4,23.97,8.07,93.9,97123.33,0.08,1.6,0,"03/2024","3",0,1,0,2024-03-02,8.7025
"1472",1472,2024-03-02 22:00:00,438,6,51.03,22.3,8.05,93.22,97115,0.57,4.32,0,"03/2024","3",0,1,0,2024-03-02,8.7025
"1473",1473,2024-03-02 23:00:00,283,6,38.08,5.9,9.72,86.78,96957.5,3.16,8.76,0,"03/2024","3",0,1,0,2024-03-02,8.7025
"1474",1474,2024-03-03,195,7,33.26,4.81,10.15,83.42,96785,2.04,6.12,0,"03/2024","1",0,1,0,2024-03-02,8.7025
"1475",1475,2024-03-03 01:00:00,154,7,21.18,4.96,9.93,83.9,96740,1.34,5.64,0,"03/2024","1",0,1,0,2024-03-03,7.83
"1476",1476,2024-03-03 02:00:00,116,7,16.89,5.26,9.75,84.35,96727.5,1.29,4.68,0,"03/2024","1",0,1,0,2024-03-03,7.83
"1477",1477,2024-03-03 03:00:00,93,7,15.22,5.45,9.85,83.83,96682.5,2.01,8.04,0,"03/2024","1",0,1,0,2024-03-03,7.83
"1478",1478,2024-03-03 04:00:00,197,7,15.64,5.98,9.97,83.55,96625,3.83,12.12,0,"03/2024","1",0,1,0,2024-03-03,7.83
"1479",1479,2024-03-03 05:00:00,448,7,16.82,6.71,10.05,83.42,96625,2.73,8.88,0,"03/2024","1",0,1,0,2024-03-03,7.83
"1480",1480,2024-03-03 06:00:00,432,7,18.54,6.88,9.93,84.5,96637.5,2.27,7.08,0,"03/2024","1",0,1,0,2024-03-03,7.83
"1481",1481,2024-03-03 07:00:00,530,7,19.62,7.16,9.8,85.8,96653.33,1.4,5.76,0,"03/2024","1",0,1,0,2024-03-03,7.83
"1482",1482,2024-03-03 08:00:00,749,7,19.7,6.07,10.25,83.25,96592.5,1.86,6.24,0,"03/2024","2",0,1,0,2024-03-03,7.83
"1483",1483,2024-03-03 09:00:00,1218,7,21,5.48,10.68,80.42,96482.5,2.41,6.96,0,"03/2024","2",0,1,0,2024-03-03,7.83
"1484",1484,2024-03-03 10:00:00,1441,7,20,4.7,11,78.65,96390,4.05,10.8,0,"03/2024","2",0,1,0,2024-03-03,7.83
"1485",1485,2024-03-03 11:00:00,1677,7,15.47,4.01,11.9,71.8,96175,4.36,10.2,0,"03/2024","2",0,1,0,2024-03-03,7.83
"1486",1486,2024-03-03 12:00:00,1955,7,15.25,3.93,12.15,69.47,96057.5,5.4,12.6,0,"03/2024","2",0,1,0,2024-03-03,7.83
"1487",1487,2024-03-03 13:00:00,2117,7,31.71,4.21,13.85,65.22,95787.5,4.57,10.68,0,"03/2024","2",0,1,0,2024-03-03,7.83
"1488",1488,2024-03-03 14:00:00,1997,7,20.65,4.3,12.32,69.2,95822.5,4.74,12.36,0,"03/2024","2",0,1,0,2024-03-03,7.83
"1489",1489,2024-03-03 15:00:00,2143,7,15.03,5.86,12.43,69.72,96017.5,3.9,11.52,0,"03/2024","2",0,1,0,2024-03-03,7.83
"1490",1490,2024-03-03 16:00:00,2345,7,12.75,7.22,11.65,71.95,96180,3.59,9.6,0,"03/2024","3",0,1,0,2024-03-03,7.83
"1491",1491,2024-03-03 17:00:00,2242,7,20.87,35.62,9.47,81.35,96582.5,0.77,3.12,0,"03/2024","3",0,1,0,2024-03-03,7.83
"1492",1492,2024-03-03 18:00:00,1646,7,23.35,37.43,7.23,88.4,96996.67,1.64,4.8,0,"03/2024","3",0,1,0,2024-03-03,7.83
"1493",1493,2024-03-03 19:00:00,1105,7,26.9,31.47,5.97,91.9,97255,2.53,6.84,0,"03/2024","3",0,1,0,2024-03-03,7.83
"1494",1494,2024-03-03 20:00:00,696,7,23.95,17.62,5.15,94.05,97407.5,2.39,5.52,0,"03/2024","3",0,1,0,2024-03-03,7.83
"1495",1495,2024-03-03 21:00:00,359,7,29.31,17.37,4.6,95.35,97540,1.56,5.28,0,"03/2024","3",0,1,0,2024-03-03,7.83
"1496",1496,2024-03-03 22:00:00,303,7,26.6,17.15,3.75,96.72,97710,0.64,3,0,"03/2024","3",0,1,0,2024-03-03,7.83
"1497",1497,2024-03-03 23:00:00,153,7,25.45,17.95,2.9,97.58,97857.5,0.9,3.6,0,"03/2024","3",0,1,0,2024-03-03,7.83
"1498",1498,2024-03-04,152,1,29.55,13.54,2.48,98.22,97962.5,0.7,3.96,0,"03/2024","1",0,1,0,2024-03-03,7.83
"1499",1499,2024-03-04 01:00:00,98,1,27.51,14.45,2,98.55,98037.5,1.39,4.92,0,"03/2024","1",0,1,0,2024-03-04,8.675
"1500",1500,2024-03-04 02:00:00,160,1,31.62,13,1.5,99.03,98132.5,0.59,3,0,"03/2024","1",0,1,0,2024-03-04,8.675
"1501",1501,2024-03-04 03:00:00,181,1,30.63,10.96,1.07,99.33,98236.67,0.19,1.6,0,"03/2024","1",0,1,0,2024-03-04,8.675
"1502",1502,2024-03-04 04:00:00,505,1,22.68,13.13,0.72,99.47,98315,0.25,2.04,0,"03/2024","1",0,1,0,2024-03-04,8.675
"1503",1503,2024-03-04 05:00:00,1701,1,29.08,16.5,0.65,99.4,98360,0.9,3.96,0,"03/2024","1",0,1,0,2024-03-04,8.675
"1504",1504,2024-03-04 06:00:00,2311,1,46.31,17.41,0.7,99.5,98380,0.69,3.24,0,"03/2024","1",0,1,0,2024-03-04,8.675
"1505",1505,2024-03-04 07:00:00,2838,1,41.85,14.43,0.88,99.33,98377.5,0.35,2.04,0,"03/2024","1",0,1,0,2024-03-04,8.675
"1506",1506,2024-03-04 08:00:00,2643,1,41.8,16.16,3.95,94.17,98107.5,0.38,2.28,0,"03/2024","2",0,1,0,2024-03-04,8.675
"1507",1507,2024-03-04 09:00:00,903,1,37.74,15.59,7.95,81.6,97420,1.93,5.52,0,"03/2024","2",0,1,0,2024-03-04,8.675
"1508",1508,2024-03-04 11:00:00,1168,1,21.9,3.35,17.48,60.27,96030,1.77,5.52,0,"03/2024","2",0,1,0,2024-03-04,8.675
"1509",1509,2024-03-04 12:00:00,2378,1,17.1,2.76,16.65,62.67,95547.5,2.75,7.92,0,"03/2024","2",0,1,0,2024-03-04,8.675
"1510",1510,2024-03-04 13:00:00,2464,1,11.29,2.45,17.97,56.03,95290,2.23,7.04,0,"03/2024","2",0,1,0,2024-03-04,8.675
"1511",1511,2024-03-04 14:00:00,2765,1,9.05,5.94,17.12,55.7,95292.5,1.73,5.88,0,"03/2024","2",0,1,0,2024-03-04,8.675
"1512",1512,2024-03-04 15:00:00,2852,1,13,13.86,16.6,59.8,95685,1.56,5.76,0,"03/2024","2",0,1,0,2024-03-04,8.675
"1513",1513,2024-03-04 16:00:00,2578,1,8.78,10.04,15.85,60.15,95810,2.38,7.68,0,"03/2024","3",0,1,0,2024-03-04,8.675
"1514",1514,2024-03-04 17:00:00,2227,1,14.49,24.23,13.7,69.88,96305,3.46,10.2,0,"03/2024","3",0,1,0,2024-03-04,8.675
"1515",1515,2024-03-04 18:00:00,1670,1,29.44,47.01,11.15,81.03,96797.5,1.57,5.28,0,"03/2024","3",0,1,0,2024-03-04,8.675
"1516",1516,2024-03-04 19:00:00,1012,1,28.13,36.48,8.05,89.5,97385,1.23,4.44,0,"03/2024","3",0,1,0,2024-03-04,8.675
"1517",1517,2024-03-04 20:00:00,662,1,36.15,24.17,9,88.62,97557.5,1.53,6.72,0,"03/2024","3",0,1,0,2024-03-04,8.675
"1518",1518,2024-03-04 21:00:00,371,1,39.95,19.64,8.35,91.4,97585,4.77,10.92,0,"03/2024","3",0,1,0,2024-03-04,8.675
"1519",1519,2024-03-04 22:00:00,340,1,39.4,15.77,7.55,92.97,97680,2.17,7.68,0,"03/2024","3",0,1,0,2024-03-04,8.675
"1520",1520,2024-03-04 23:00:00,139,1,51.36,17.67,6.73,94.97,97773.33,0.14,1.6,0,"03/2024","3",0,1,0,2024-03-04,8.675
"1521",1521,2024-03-05,110,2,46.38,17.14,7.2,93.8,97720,0.07,1.08,0,"03/2024","1",0,1,0,2024-03-04,8.675
"1522",1522,2024-03-05 01:00:00,89,2,43.92,19.09,7.63,93.1,97683.33,0.4,2.08,0,"03/2024","1",0,1,0,2024-03-05,6.68
"1523",1523,2024-03-05 02:00:00,78,2,43.27,9.35,8.1,90.2,97622.5,2.19,8.4,0,"03/2024","1",0,1,0,2024-03-05,6.68
"1524",1524,2024-03-05 03:00:00,147,2,32.97,6.72,7.95,87.12,97620,2.53,7.68,0,"03/2024","1",0,1,0,2024-03-05,6.68
"1525",1525,2024-03-05 04:00:00,435,2,33.9,8.08,7.75,87.5,97660,1.26,5.64,0,"03/2024","1",0,1,0,2024-03-05,6.68
"1526",1526,2024-03-05 05:00:00,1605,2,36.82,9.63,7.62,87.47,97707.5,0.86,4.32,0,"03/2024","1",0,1,0,2024-03-05,6.68
"1527",1527,2024-03-05 06:00:00,2482,2,32.08,7.55,7.5,85.65,97740,2.68,8.52,0,"03/2024","1",0,1,0,2024-03-05,6.68
"1528",1528,2024-03-05 07:00:00,2724,2,21.36,7.92,7.3,83.17,97815,2.84,10.8,0,"03/2024","1",0,1,0,2024-03-05,6.68
"1529",1529,2024-03-05 08:00:00,2575,2,22.44,5.83,7.7,81.17,97772.5,3.67,12.6,0,"03/2024","2",0,1,0,2024-03-05,6.68
"1530",1530,2024-03-05 09:00:00,2419,2,24.97,6.37,7.63,80.9,97806.67,3.81,11.2,0,"03/2024","2",0,1,0,2024-03-05,6.68
"1531",1531,2024-03-05 10:00:00,2364,2,24.98,6.91,7.7,78.45,97830,2.34,6.72,0,"03/2024","2",0,1,0,2024-03-05,6.68
"1532",1532,2024-03-05 11:00:00,2304,2,25.29,7.58,8.2,76.95,97810,0.46,2.64,0,"03/2024","2",0,1,0,2024-03-05,6.68
"1533",1533,2024-03-05 12:00:00,2364,2,25.45,9.01,8.32,76.33,97730,0.9,3.48,0,"03/2024","2",0,1,0,2024-03-05,6.68
"1534",1534,2024-03-05 13:00:00,2423,2,29.44,21.94,7.82,82.35,97775,1.4,4.8,0.09,"03/2024","2",0,1,0,2024-03-05,6.68
"1535",1535,2024-03-05 14:00:00,2686,2,33.52,25.29,7.18,92.83,97960,0.83,3.36,0,"03/2024","2",0,1,0,2024-03-05,6.68
"1536",1536,2024-03-05 15:00:00,2938,2,33.13,19.85,7.25,91.62,98000,0.36,2.16,0.09,"03/2024","2",0,1,0,2024-03-05,6.68
"1537",1537,2024-03-05 16:00:00,2568,2,32.62,34.14,6.82,93.1,98100,1.19,3.96,0.09,"03/2024","3",0,1,0,2024-03-05,6.68
"1538",1538,2024-03-05 17:00:00,2062,2,36.9,29.69,6.62,93.25,98177.5,1.78,4.32,0,"03/2024","3",0,1,0,2024-03-05,6.68
"1539",1539,2024-03-05 18:00:00,1648,2,41.49,24.97,6.63,93.6,98236.67,1.56,4.32,0,"03/2024","3",0,1,0,2024-03-05,6.68
"1540",1540,2024-03-05 19:00:00,974,2,47.69,22.37,6.58,94.6,98290,0.48,2.28,0,"03/2024","3",0,1,0,2024-03-05,6.68
"1541",1541,2024-03-05 20:00:00,725,2,46.77,18.61,6.3,97.35,98347.5,0.09,0.84,0,"03/2024","3",0,1,0,2024-03-05,6.68
"1542",1542,2024-03-05 21:00:00,390,2,50.46,19.33,6.12,98.45,98397.5,0.13,1.2,0,"03/2024","3",0,1,0,2024-03-05,6.68
"1543",1543,2024-03-05 22:00:00,309,2,53.33,21.05,5.6,98.4,98487.5,0.46,2.28,0,"03/2024","3",0,1,0,2024-03-05,6.68
"1544",1544,2024-03-05 23:00:00,151,2,53.18,16.2,5.1,99.45,98645,0.42,2.16,0,"03/2024","3",0,1,0,2024-03-05,6.68
"1545",1545,2024-03-06,85,3,46.33,15.24,5.22,98.75,98665,0.3,1.8,0,"03/2024","1",0,1,0,2024-03-05,6.68
"1546",1546,2024-03-06 01:00:00,70,3,49.13,13.75,5.5,98.62,98665,0.17,1.2,0,"03/2024","1",0,1,0,2024-03-06,5.2625
"1547",1547,2024-03-06 02:00:00,92,3,51.62,18.31,5.6,97.1,98647.5,0.11,1.2,0,"03/2024","1",0,1,0,2024-03-06,5.2625
"1548",1548,2024-03-06 03:00:00,152,3,49.95,15.9,5.53,97.85,98675,0.63,2.52,0,"03/2024","1",0,1,0,2024-03-06,5.2625
"1549",1549,2024-03-06 04:00:00,415,3,52.45,14.55,5.37,98.13,98713.33,0.14,1.28,0,"03/2024","1",0,1,0,2024-03-06,5.2625
"1550",1550,2024-03-06 05:00:00,1625,3,48.26,17.28,5.3,97.5,98760,0.05,0.6,0,"03/2024","1",0,1,0,2024-03-06,5.2625
"1551",1551,2024-03-06 06:00:00,2470,3,45.3,18.37,5.35,95,98822.5,0.34,2.4,0,"03/2024","1",0,1,0,2024-03-06,5.2625
"1552",1552,2024-03-06 07:00:00,2809,3,38.28,16.84,5.53,89.67,98857.5,0.35,2.76,0,"03/2024","1",0,1,0,2024-03-06,5.2625
"1553",1553,2024-03-06 08:00:00,2641,3,35.41,8.04,6.22,85.7,98797.5,1.46,4.44,0.09,"03/2024","2",0,1,0,2024-03-06,5.2625
"1554",1554,2024-03-06 09:00:00,2567,3,28.97,4.18,9.47,70.78,98475,2.94,10.2,0,"03/2024","2",0,1,0,2024-03-06,5.2625
"1555",1555,2024-03-06 10:00:00,2425,3,26.32,4.2,12.1,62.62,97987.5,5.01,14.52,0,"03/2024","2",0,1,0,2024-03-06,5.2625
"1556",1556,2024-03-06 11:00:00,2375,3,27.44,3.4,12,60.42,97702.5,4.16,10.8,0,"03/2024","2",0,1,0,2024-03-06,5.2625
"1557",1557,2024-03-06 12:00:00,2416,3,23.92,3.01,13.28,55.17,97417.5,3.51,10.44,0,"03/2024","2",0,1,0,2024-03-06,5.2625
"1558",1558,2024-03-06 13:00:00,2532,3,19.03,3.58,11.6,56.83,97446.67,6.92,18.08,0,"03/2024","2",0,1,0,2024-03-06,5.2625
"1559",1559,2024-03-06 14:00:00,2671,3,20.6,5.46,11.62,56.62,97650,6.93,18.84,0,"03/2024","2",0,1,0,2024-03-06,5.2625
"1560",1560,2024-03-06 15:00:00,2902,3,17.51,6.24,11,52.55,97690,7.39,18.96,0,"03/2024","2",0,1,0,2024-03-06,5.2625
"1561",1561,2024-03-06 16:00:00,2646,3,22.68,12.05,8.53,61.27,98235,9.92,23.4,0,"03/2024","3",0,1,0,2024-03-06,5.2625
"1562",1562,2024-03-06 17:00:00,2383,3,25.54,14.47,6.5,69.97,98722.5,5.21,13.68,0,"03/2024","3",0,1,0,2024-03-06,5.2625
"1563",1563,2024-03-06 18:00:00,1799,3,22.12,15.42,5.15,73,99130,7.77,16.44,0,"03/2024","3",0,1,0,2024-03-06,5.2625
"1564",1564,2024-03-06 19:00:00,1131,3,19.89,15.08,4.65,74.38,99360,5.22,13.08,0,"03/2024","3",0,1,0,2024-03-06,5.2625
"1565",1565,2024-03-06 20:00:00,691,3,23.3,16.41,3.6,78.58,99620,1.56,5.04,0,"03/2024","3",0,1,0,2024-03-06,5.2625
"1566",1566,2024-03-06 21:00:00,412,3,28.51,21.11,1.95,86.3,99887.5,0.39,2.64,0,"03/2024","3",0,1,0,2024-03-06,5.2625
"1567",1567,2024-03-06 22:00:00,406,3,25.69,19.45,1.05,90.35,100085,0.59,2.64,0,"03/2024","3",0,1,0,2024-03-06,5.2625
"1568",1568,2024-03-06 23:00:00,159,3,32.54,24.92,1.37,90.07,100063.33,0.47,2.24,0,"03/2024","3",0,1,0,2024-03-06,5.2625
"1569",1569,2024-03-07,111,4,29.55,19.27,2.5,88.62,99857.5,0.21,1.68,0,"03/2024","1",0,1,0,2024-03-06,5.2625
"1570",1570,2024-03-07 01:00:00,81,4,28.24,16.22,3.2,90.33,99680,0.46,2.52,0,"03/2024","1",0,1,0,2024-03-07,4.4725
"1571",1571,2024-03-07 02:00:00,86,4,17.23,15.23,4.35,88.5,99482.5,0.97,4.8,0,"03/2024","1",0,1,0,2024-03-07,4.4725
"1572",1572,2024-03-07 03:00:00,132,4,13.87,12.73,4.62,90.33,99320,2.88,8.04,0,"03/2024","1",0,1,0,2024-03-07,4.4725
"1573",1573,2024-03-07 04:00:00,419,4,14.55,11.98,4.53,90.9,99305,0.88,4.08,0,"03/2024","1",0,1,0,2024-03-07,4.4725
"1574",1574,2024-03-07 05:00:00,1544,4,16.79,12.21,4.58,88.7,99307.5,1.15,5.28,0,"03/2024","1",0,1,0,2024-03-07,4.4725
"1575",1575,2024-03-07 06:00:00,2455,4,18.38,9.11,4.53,85.78,99317.5,2.56,8.88,0,"03/2024","1",0,1,0,2024-03-07,4.4725
"1576",1576,2024-03-07 07:00:00,2789,4,19.95,7.62,4.32,80.88,99390,3.72,11.76,0,"03/2024","1",0,1,0,2024-03-07,4.4725
"1577",1577,2024-03-07 08:00:00,2572,4,19.92,6.78,4.33,78.37,99383.33,5.36,15.04,0,"03/2024","2",0,1,0,2024-03-07,4.4725
"1578",1578,2024-03-07 09:00:00,2400,4,17.68,4.91,4.62,71.95,99292.5,3.68,12.72,0,"03/2024","2",0,1,0,2024-03-07,4.4725
"1579",1579,2024-03-07 10:00:00,2480,4,18.03,5.31,5.5,67.08,99125,4.26,11.64,0,"03/2024","2",0,1,0,2024-03-07,4.4725
"1580",1580,2024-03-07 11:00:00,2359,4,16.03,4.46,6.95,61.08,98855,4.01,12.24,0,"03/2024","2",0,1,0,2024-03-07,4.4725
"1581",1581,2024-03-07 12:00:00,2422,4,15.1,4.54,7.18,59.67,98670,4.7,13.8,0,"03/2024","2",0,1,0,2024-03-07,4.4725
"1582",1582,2024-03-07 13:00:00,2452,4,17.42,5.45,6.62,63.17,98712.5,6.17,15.84,0,"03/2024","2",0,1,0,2024-03-07,4.4725
"1583",1583,2024-03-07 14:00:00,2829,4,17.18,5.86,5.97,63.85,98842.5,8.37,20.28,0,"03/2024","2",0,1,0,2024-03-07,4.4725
"1584",1584,2024-03-07 15:00:00,3073,4,17.55,7.35,5.8,63.9,98932.5,5.83,16.2,0,"03/2024","2",0,1,0,2024-03-07,4.4725
"1585",1585,2024-03-07 16:00:00,2698,4,16.87,8.22,5.42,64.53,99015,4.88,13.32,0,"03/2024","3",0,1,0,2024-03-07,4.4725
"1586",1586,2024-03-07 17:00:00,2314,4,16.02,8.54,5.08,64.42,99107.5,6.83,14.28,0,"03/2024","3",0,1,0,2024-03-07,4.4725
"1587",1587,2024-03-07 18:00:00,1796,4,17.28,9.15,4.7,65.77,99196.67,7.05,14.56,0,"03/2024","3",0,1,0,2024-03-07,4.4725
"1588",1588,2024-03-07 19:00:00,1135,4,20.21,10.17,4.28,67.75,99282.5,4.19,10.8,0,"03/2024","3",0,1,0,2024-03-07,4.4725
"1589",1589,2024-03-07 20:00:00,723,4,21.95,13.92,4.03,69.88,99342.5,1.83,5.4,0,"03/2024","3",0,1,0,2024-03-07,4.4725
"1590",1590,2024-03-07 21:00:00,462,4,23.73,14,3.8,71.85,99365,1.49,5.4,0,"03/2024","3",0,1,0,2024-03-07,4.4725
"1591",1591,2024-03-07 22:00:00,348,4,24.13,10.97,3.62,73.7,99392.5,1.1,4.2,0,"03/2024","3",0,1,0,2024-03-07,4.4725
"1592",1592,2024-03-07 23:00:00,156,4,26,15.13,2.7,77.25,99530,0.93,3.84,0,"03/2024","3",0,1,0,2024-03-07,4.4725
"1593",1593,2024-03-08,88,5,29.31,16.93,0.52,86.1,99920,0.24,2.04,0,"03/2024","1",0,1,0,2024-03-07,4.4725
"1594",1594,2024-03-08 01:00:00,77,5,36.67,17.61,-0.65,89.92,100175,0.59,3.24,0,"03/2024","1",0,1,0,2024-03-08,5.5325
"1595",1595,2024-03-08 02:00:00,76,5,32.53,17.36,-0.97,90.5,100253.33,1.04,4.8,0,"03/2024","1",0,1,0,2024-03-08,5.5325
"1596",1596,2024-03-08 03:00:00,168,5,31.25,17.16,-1.32,92.05,100287.5,0.72,4.08,0,"03/2024","1",0,1,0,2024-03-08,5.5325
"1597",1597,2024-03-08 04:00:00,377,5,33.61,16.94,-1.8,92.97,100325,0.66,3.48,0,"03/2024","1",0,1,0,2024-03-08,5.5325
"1598",1598,2024-03-08 05:00:00,1498,5,32.95,36.4,-2,93.62,100335,0.62,4.32,0,"03/2024","1",0,1,0,2024-03-08,5.5325
"1599",1599,2024-03-08 06:00:00,2380,5,36.97,34.58,-1.48,92.65,100235,0.39,3.24,0,"03/2024","1",0,1,0,2024-03-08,5.5325
"1600",1600,2024-03-08 07:00:00,2634,5,43.92,44.61,1.07,84.25,100040,0.56,3.12,0,"03/2024","1",0,1,0,2024-03-08,5.5325
"1601",1601,2024-03-08 08:00:00,2703,5,38.97,29.42,4.05,73.97,99275,2.38,5.4,0,"03/2024","2",0,1,0,2024-03-08,5.5325
"1602",1602,2024-03-08 09:00:00,2573,5,30.52,8.08,5.65,69.92,98772.5,2.74,8.04,0,"03/2024","2",0,1,0,2024-03-08,5.5325
"1603",1603,2024-03-08 10:00:00,2474,5,25.89,3.86,7.72,61.92,98315,4.8,14.16,0,"03/2024","2",0,1,0,2024-03-08,5.5325
"1604",1604,2024-03-08 11:00:00,2620,5,23.08,3.67,8.2,60.67,97990,5.97,16.32,0,"03/2024","2",0,1,0,2024-03-08,5.5325
"1605",1605,2024-03-08 12:00:00,2685,5,23,3.92,10,57.65,97790,7.47,18.12,0,"03/2024","2",0,1,0,2024-03-08,5.5325
"1606",1606,2024-03-08 13:00:00,2749,5,23.31,4.02,9.75,59.1,97475,6.54,17.64,0,"03/2024","2",0,1,0,2024-03-08,5.5325
"1607",1607,2024-03-08 14:00:00,2910,5,19.03,5.65,10.3,58.93,97260,6.01,14.56,0,"03/2024","2",0,1,0,2024-03-08,5.5325
